time,p1,p2
1106763696,15,68
1106763696,27,12
1106763696,67,27
1106763696,67,11
1106763696,27,11
1106763696,68,25
1106763696,68,8
1106763696,3,4
1106763696,58,25
1106763696,78,81
1106763696,11,12
1106763696,58,35
1106763696,67,12
1106763696,8,35
1106763696,15,8
1106763696,15,68
1106763696,27,12
1106763696,67,27
1106763696,67,11
1106763696,27,11
1106763696,68,25
1106763696,68,8
1106763696,3,4
1106763696,58,25
1106763696,78,81
1106763696,11,12
1106763696,58,35
1106763696,67,12
1106763696,8,35
1106763696,15,8
1106763696,67,60
1106763696,15,68
1106763696,27,12
1106763696,27,11
1106763696,68,25
1106763696,68,8
1106763696,3,4
1106763696,58,25
1106763696,78,81
1106763696,8,35
1106763696,15,8
1106763696,15,68
1106763696,27,12
1106763696,27,11
1106763696,68,25
1106763696,68,8
1106763696,3,4
1106763696,58,25
1106763696,78,81
1106763696,8,35
1106763696,15,8
1106763696,15,68
1106763696,27,12
1106763696,27,11
1106763696,68,25
1106763696,68,8
1106763696,3,4
1106763696,58,25
1106763696,78,81
1106763696,8,35
1106763696,15,8
1106763696,15,68
1106763696,27,12
1106763696,27,11
1106763696,68,25
1106763696,68,8
1106763696,3,4
1106763696,58,25
1106763696,78,81
1106763696,8,35
1106763696,15,8
1106763696,67,11
1106763696,67,12
1106764296,15,68
1106764296,27,12
1106764296,27,11
1106764296,68,25
1106764296,68,8
1106764296,3,4
1106764296,58,25
1106764296,78,81
1106764296,8,35
1106764296,15,8
1106764296,67,11
1106764296,67,12
1106764296,15,35
1106764296,27,12
1106764296,27,11
1106764296,68,25
1106764296,68,8
1106764296,3,4
1106764296,58,25
1106764296,78,81
1106764296,8,35
1106764296,67,11
1106764296,67,12
1106764296,68,35
1106764296,27,12
1106764296,27,11
1106764296,68,25
1106764296,68,8
1106764296,3,4
1106764296,58,25
1106764296,78,81
1106764296,8,35
1106764296,67,11
1106764296,67,12
1106764296,68,35
1106764296,67,27
1106764296,65,6
1106764296,27,12
1106764296,27,11
1106764296,68,25
1106764296,68,8
1106764296,3,4
1106764296,58,25
1106764296,78,81
1106764296,8,35
1106764296,67,11
1106764296,67,12
1106764296,68,35
1106764296,67,27
1106764296,78,18
1106764296,3,8
1106764296,3,35
1106764296,27,12
1106764296,27,11
1106764296,68,25
1106764296,68,8
1106764296,58,25
1106764296,78,81
1106764296,8,35
1106764296,67,11
1106764296,67,12
1106764296,68,35
1106764296,67,27
1106764296,78,18
1106764296,3,8
1106764296,3,35
1106764296,27,12
1106764296,27,11
1106764296,68,25
1106764296,68,8
1106764296,58,25
1106764296,78,81
1106764296,8,35
1106764296,67,11
1106764296,67,12
1106764296,68,35
1106764296,67,27
1106764296,78,18
1106764296,3,8
1106764296,3,35
1106764896,27,12
1106764896,27,11
1106764896,68,25
1106764896,68,8
1106764896,58,25
1106764896,78,81
1106764896,8,35
1106764896,67,11
1106764896,67,12
