time,p1,p2
1111073496,17,39
1111073496,68,19
1111073496,42,2
1111073496,40,39
1111073496,20,42
1111073496,20,2
1111073496,78,67
1111073496,40,17
1111073496,14,68
1111073496,14,19
1111073496,86,68
1111073496,86,19
1111073496,11,12
1111073496,65,66
1111073496,14,35
1111073496,86,35
1111073496,78,68
1111073496,4,35
1111073496,14,76
1111073496,68,35
1111073496,10,19
1111073496,10,72
1111073496,10,35
1111073496,14,10
1111073496,14,72
1111073496,86,10
1111073496,86,72
1111073496,68,10
1111073496,10,4
1111073496,17,39
1111073496,68,19
1111073496,42,2
1111073496,40,39
1111073496,20,42
1111073496,20,2
1111073496,78,67
1111073496,40,17
1111073496,14,68
1111073496,14,19
1111073496,86,68
1111073496,86,19
1111073496,11,12
1111073496,65,66
1111073496,14,35
1111073496,86,35
1111073496,78,68
1111073496,4,35
1111073496,14,76
1111073496,68,35
1111073496,10,19
1111073496,10,72
1111073496,10,35
1111073496,14,10
1111073496,14,72
1111073496,86,10
1111073496,86,72
1111073496,68,10
1111073496,10,4
1111073496,17,39
1111073496,68,19
1111073496,42,2
1111073496,40,39
1111073496,20,42
1111073496,20,2
1111073496,78,67
1111073496,40,17
1111073496,14,68
1111073496,14,19
1111073496,86,68
1111073496,86,19
1111073496,11,12
1111073496,65,66
1111073496,14,35
1111073496,86,35
1111073496,78,68
1111073496,4,35
1111073496,14,76
1111073496,68,35
1111073496,10,19
1111073496,10,72
1111073496,10,35
1111073496,14,10
1111073496,14,72
1111073496,86,10
1111073496,86,72
1111073496,68,10
1111073496,10,4
1111073496,17,39
1111073496,68,19
1111073496,42,2
1111073496,40,39
1111073496,20,42
1111073496,20,2
1111073496,78,67
1111073496,40,17
1111073496,14,68
1111073496,14,19
1111073496,86,68
1111073496,86,19
1111073496,11,12
1111073496,65,66
1111073496,14,35
1111073496,86,35
1111073496,78,68
1111073496,4,35
1111073496,14,76
1111073496,68,35
1111073496,10,19
1111073496,10,72
1111073496,10,35
1111073496,14,10
1111073496,14,72
1111073496,86,10
1111073496,86,72
1111073496,68,10
1111073496,10,4
1111073496,17,39
1111073496,68,19
1111073496,42,2
1111073496,40,39
1111073496,20,42
1111073496,20,2
1111073496,78,67
1111073496,40,17
1111073496,14,68
1111073496,14,19
1111073496,86,68
1111073496,86,19
1111073496,11,12
1111073496,65,66
1111073496,14,35
1111073496,86,35
1111073496,78,68
1111073496,4,35
1111073496,14,76
1111073496,68,35
1111073496,10,19
1111073496,10,72
1111073496,10,35
1111073496,14,10
1111073496,14,72
1111073496,86,10
1111073496,86,72
1111073496,68,10
1111073496,10,4
1111073496,17,39
1111073496,68,19
1111073496,42,2
1111073496,40,39
1111073496,20,42
1111073496,20,2
1111073496,78,67
1111073496,40,17
1111073496,14,68
1111073496,14,19
1111073496,86,68
1111073496,86,19
1111073496,11,12
1111073496,65,66
1111073496,14,35
1111073496,86,35
1111073496,78,68
1111073496,4,35
1111073496,14,76
1111073496,68,35
1111073496,10,19
1111073496,10,72
1111073496,10,35
1111073496,14,10
1111073496,14,72
1111073496,86,10
1111073496,86,72
1111073496,68,10
1111073496,10,4
1111074096,17,39
1111074096,68,19
1111074096,42,2
1111074096,40,39
1111074096,20,42
1111074096,20,2
1111074096,78,67
1111074096,40,17
1111074096,14,68
1111074096,14,19
1111074096,86,68
1111074096,86,19
1111074096,11,12
1111074096,65,66
1111074096,14,35
1111074096,86,35
1111074096,78,68
1111074096,4,35
1111074096,14,76
1111074096,68,35
1111074096,10,19
1111074096,10,72
1111074096,10,35
1111074096,14,10
1111074096,14,72
1111074096,86,10
1111074096,86,72
1111074096,68,10
1111074096,10,4
1111074096,17,39
1111074096,68,19
1111074096,42,2
1111074096,40,39
1111074096,20,42
1111074096,20,2
1111074096,78,67
1111074096,40,17
1111074096,14,68
1111074096,14,19
1111074096,86,68
1111074096,86,19
1111074096,11,12
1111074096,65,66
1111074096,14,35
1111074096,86,35
1111074096,78,68
1111074096,4,35
1111074096,14,76
1111074096,68,35
1111074096,10,19
1111074096,10,72
1111074096,10,35
1111074096,14,10
1111074096,14,72
1111074096,86,10
1111074096,86,72
1111074096,68,10
1111074096,10,4
1111074096,17,39
1111074096,68,19
1111074096,42,2
1111074096,40,39
1111074096,20,42
1111074096,20,2
1111074096,78,67
1111074096,40,17
1111074096,14,68
1111074096,14,19
1111074096,86,68
1111074096,86,19
1111074096,11,12
1111074096,65,66
1111074096,14,35
1111074096,86,35
1111074096,78,68
1111074096,4,35
1111074096,14,76
1111074096,68,35
1111074096,10,19
1111074096,10,72
1111074096,10,35
1111074096,14,10
1111074096,14,72
1111074096,86,10
1111074096,86,72
1111074096,68,10
1111074096,17,39
1111074096,68,19
1111074096,42,2
1111074096,40,39
1111074096,20,42
1111074096,20,2
1111074096,78,67
1111074096,40,17
1111074096,14,68
1111074096,14,19
1111074096,86,68
1111074096,86,19
1111074096,11,12
1111074096,65,66
1111074096,14,35
1111074096,86,35
1111074096,78,68
1111074096,14,76
1111074096,68,35
1111074096,10,19
1111074096,10,72
1111074096,10,35
1111074096,14,10
1111074096,14,72
1111074096,86,10
1111074096,86,72
1111074096,68,10
1111074096,17,39
1111074096,68,19
1111074096,42,2
1111074096,40,39
1111074096,20,42
1111074096,20,2
1111074096,78,67
1111074096,40,17
1111074096,14,68
1111074096,14,19
1111074096,86,68
1111074096,86,19
1111074096,11,12
1111074096,65,66
1111074096,14,35
1111074096,86,35
1111074096,78,68
1111074096,14,76
1111074096,68,35
1111074096,10,19
1111074096,10,72
1111074096,10,35
1111074096,14,10
1111074096,14,72
1111074096,86,10
1111074096,86,72
1111074096,68,10
1111074096,14,58
1111074096,68,19
1111074096,42,2
1111074096,40,39
1111074096,20,42
1111074096,20,2
1111074096,78,67
1111074096,40,17
1111074096,14,68
1111074096,14,19
1111074096,86,68
1111074096,86,19
1111074096,11,12
1111074096,65,66
1111074096,14,35
1111074096,86,35
1111074096,78,68
1111074096,14,76
1111074096,68,35
1111074096,10,19
1111074096,10,72
1111074096,10,35
1111074096,14,10
1111074096,14,72
1111074096,86,10
1111074096,86,72
1111074096,68,10
1111074096,14,58
1111074696,68,19
1111074696,42,2
1111074696,40,39
1111074696,20,42
1111074696,20,2
1111074696,78,67
1111074696,40,17
1111074696,14,68
1111074696,14,19
1111074696,86,68
1111074696,86,19
1111074696,11,12
1111074696,65,66
1111074696,14,35
1111074696,86,35
1111074696,78,68
1111074696,14,76
1111074696,68,35
1111074696,10,72
1111074696,10,35
1111074696,14,10
1111074696,14,72
1111074696,86,10
1111074696,86,72
1111074696,14,58
1111074696,68,19
1111074696,42,2
1111074696,40,39
1111074696,20,42
1111074696,20,2
1111074696,78,67
1111074696,40,17
1111074696,14,68
1111074696,14,19
1111074696,86,68
1111074696,86,19
1111074696,11,12
1111074696,65,66
1111074696,14,35
1111074696,86,35
1111074696,14,76
1111074696,68,35
1111074696,10,72
1111074696,10,35
1111074696,14,10
1111074696,14,72
1111074696,86,10
1111074696,86,72
1111074696,14,58
1111074696,68,19
1111074696,42,2
1111074696,40,39
1111074696,20,42
1111074696,20,2
1111074696,78,67
1111074696,40,17
1111074696,14,68
1111074696,14,19
1111074696,86,68
1111074696,86,19
1111074696,11,12
1111074696,65,66
1111074696,14,35
1111074696,86,35
1111074696,14,76
1111074696,68,35
1111074696,10,72
1111074696,10,35
1111074696,14,10
1111074696,14,72
1111074696,86,10
1111074696,86,72
1111074696,14,58
1111074696,68,19
1111074696,42,2
1111074696,40,39
1111074696,20,42
1111074696,20,2
1111074696,78,67
1111074696,40,17
1111074696,14,68
1111074696,14,19
1111074696,86,68
1111074696,86,19
1111074696,11,12
1111074696,65,66
1111074696,14,35
1111074696,86,35
1111074696,14,76
1111074696,68,35
1111074696,10,72
1111074696,10,35
1111074696,14,10
1111074696,86,10
1111074696,14,58
1111074696,68,72
1111074696,42,2
1111074696,40,39
1111074696,20,42
1111074696,20,2
1111074696,40,17
1111074696,14,68
1111074696,14,19
1111074696,86,68
1111074696,86,19
1111074696,11,12
1111074696,65,66
1111074696,14,35
1111074696,86,35
1111074696,14,76
1111074696,10,72
1111074696,10,35
1111074696,14,10
1111074696,86,10
1111074696,14,58
1111074696,42,2
1111074696,40,39
1111074696,20,42
1111074696,20,2
1111074696,40,17
1111074696,14,19
1111074696,86,19
1111074696,11,12
1111074696,65,66
